model_variant,fold_index,train_start,train_end,test_start,test_end,n_test_matches,log_loss,brier_score,accuracy,home_accuracy,draw_accuracy,away_accuracy,roi
A,1,2020-09-12,2022-05-22,2022-08-05,2023-05-28,380,1.05068954152635,0.6304725258175877,0.4789473684210526,0.5540540540540541,,0.37341772151898733,-0.08881578947368421
A,2,2020-09-12,2023-05-28,2023-08-11,2024-05-19,380,0.9486672638473732,0.5604521029048105,0.5631578947368421,0.5889830508474576,,0.5208333333333334,0.03444736842105227
A,3,2020-09-12,2024-05-19,2024-08-16,2025-05-25,380,1.0537782185657807,0.6344825343485695,0.4605263157894737,0.4701195219123506,,0.4418604651162791,-0.152842105263158
A,4,2020-09-12,2025-05-25,2025-08-15,2026-05-24,380,1.0409058703745093,0.6262422641154759,0.46578947368421053,0.5,,0.40298507462686567,-0.12005263157894798
B,1,2020-09-12,2022-05-22,2022-08-05,2023-05-28,380,1.0163149943583638,0.608643658104351,0.5105263157894737,0.5517241379310345,,0.42016806722689076,-0.03694736842105269
B,2,2020-09-12,2023-05-28,2023-08-11,2024-05-19,380,0.9430542310961194,0.556675205626041,0.5684210526315789,0.5731225296442688,,0.5590551181102362,0.02739473684210503
B,3,2020-09-12,2024-05-19,2024-08-16,2025-05-25,380,1.0347860511255036,0.6214165484223969,0.4868421052631579,0.4744525547445255,,0.5188679245283019,-0.12560526315789508
B,4,2020-09-12,2025-05-25,2025-08-15,2026-05-24,380,1.0337561606049754,0.6223479502032327,0.4605263157894737,0.47601476014760147,,0.42201834862385323,-0.15402631578947407
C,1,2020-09-12,2022-05-22,2022-08-05,2023-05-28,380,1.017016202348152,0.6092662526865487,0.5289473684210526,0.5615384615384615,,0.4583333333333333,0.03294736842105229
C,2,2020-09-12,2023-05-28,2023-08-11,2024-05-19,380,0.9451768202689231,0.5584730831361201,0.5578947368421052,0.568,,0.5384615384615384,0.006973684210526106
C,3,2020-09-12,2024-05-19,2024-08-16,2025-05-25,380,1.0286107167221876,0.6164654368723126,0.4921052631578947,0.4795539033457249,,0.5225225225225225,-0.10973684210526327
C,4,2020-09-12,2025-05-25,2025-08-15,2026-05-24,380,1.038140636805266,0.6254708690017117,0.45263157894736844,0.47368421052631576,,0.40350877192982454,-0.16073684210526357
D,1,2020-09-12,2022-05-22,2022-08-05,2023-05-28,380,1.0144477267738843,0.6077933011796872,0.5210526315789473,0.5555555555555556,,0.44537815126050423,0.022026315789473398
D,2,2020-09-12,2023-05-28,2023-08-11,2024-05-19,380,0.9550501551621288,0.565479203053554,0.5447368421052632,0.5538461538461539,,0.525,-0.012973684210526483
D,3,2020-09-12,2024-05-19,2024-08-16,2025-05-25,380,1.0220786745432522,0.6117571857105605,0.49736842105263157,0.4782608695652174,,0.5480769230769231,-0.09118421052631603
D,4,2020-09-12,2025-05-25,2025-08-15,2026-05-24,380,1.0407744968363106,0.62697316625851,0.45526315789473687,0.47191011235955055,,0.415929203539823,-0.13715789473684256
E,1,2020-09-12,2022-05-22,2022-08-05,2023-05-28,380,1.006640685866617,0.6013596192037723,0.5368421052631579,0.5655430711610487,,0.4690265486725664,0.03789473684210505
E,2,2020-09-12,2023-05-28,2023-08-11,2024-05-19,380,0.951253742033847,0.563453663376574,0.5526315789473685,0.562015503875969,,0.5327868852459017,0.0030263157894736244
E,3,2020-09-12,2024-05-19,2024-08-16,2025-05-25,380,1.0204815555336222,0.6104406716186345,0.49473684210526314,0.47619047619047616,,0.5420560747663551,-0.10926315789473709
E,4,2020-09-12,2025-05-25,2025-08-15,2026-05-24,380,1.043445912501426,0.6294152898158821,0.45789473684210524,0.4696969696969697,,0.43103448275862066,-0.13073684210526362
