model_variant,label,n_test_matches,log_loss,brier_score,accuracy,home_accuracy,draw_accuracy,away_accuracy,over_2_5_accuracy,under_2_5_accuracy,roi,roi_n_bets
E,完整模型（D + 調校過的超參數）,1520,1.0054554739838781,0.6011673110037135,0.5105263157894737,0.5178907721280602,,0.49344978165938863,0.5852968897266729,0.45751633986928103,-0.04976973684210592,1520
B,Dixon-Coles + Elo,1520,1.0069778592962408,0.6022708405890062,0.506578947368421,0.5174693106704438,,0.48156182212581344,0.5923159018143009,0.45969125214408235,-0.07229605263157947,1520
C,Dixon-Coles + Elo + 近期手感,1520,1.0072360940361318,0.6024189104241733,0.5078947368421053,0.5196172248803828,,0.48210526315789476,0.592741935483871,0.4659090909090909,-0.05763815789473708,1520
D,Dixon-Coles + Elo + 近期手感 + 時間衰減,1520,1.0080877633288918,0.603000714050578,0.5046052631578948,0.5140977443609023,,0.4824561403508772,0.5863039399624765,0.460352422907489,-0.05482236842105288,1520
A,Dixon-Coles（無 Elo/近期手感/時間衰減）,1520,1.0235102235785036,0.6129123567966098,0.4921052631578947,0.5267015706806283,,0.4336283185840708,0.5923159018143009,0.45969125214408235,-0.08181578947368459,1520
